codigo_interno,nome,preco,descricao,uuid
1,Camiseta Básica Branca,29.90,Camiseta 100% algodão em cor branca. Disponível em tamanhos P M G e GG. Tecido de alta qualidade com toque macio e confortável.,
2,Calça Jeans Masculina,89.90,Calça jeans com modelagem moderna e confortável. Cor azul escuro com lavagem tradicional. 5 bolsos e fechamento por botão e zíper.,
3,Tênis Esportivo,149.90,Tênis ideal para corrida e caminhada. Solado em EVA com alta absorção de impacto. Cabedal respirável em mesh. Disponível em diversas cores.,
4,Jaqueta de Couro,299.90,Jaqueta em couro sintético de alta qualidade. Design moderno com zíperes laterais. Forro interno em poliéster. Perfeita para dias frios.,
5,Relógio Digital,79.90,Relógio digital com display LED. À prova d'água até 50m. Alarme cronômetro e data. Pulseira em silicone confortável.,
6,Mochila Executiva,129.90,Mochila com compartimento acolchoado para notebook até 15 polegadas. Múltiplos bolsos organizadores. Material resistente à água.,
7,Óculos de Sol,59.90,Óculos de sol com proteção UV400. Armação em acetato resistente. Lentes polarizadas que reduzem o reflexo. Design moderno e confortável.,
8,Carteira de Couro,49.90,Carteira compacta em couro legítimo. 6 porta-cartões e compartimento para cédulas. Design minimalista e elegante.,
9,Cinto de Couro,39.90,Cinto em couro genuíno com fivela em metal. Largura de 3cm. Ajustável e durável. Cor marrom ou preta.,
10,Boné Trucker,34.90,Boné estilo trucker com tela nas costas. Aba curva e ajuste por fecho de encaixe. 100% algodão na parte frontal.,
11,Bermuda Jeans,69.90,Bermuda jeans com comprimento no joelho. Modelagem reta e confortável. 5 bolsos tradicionais. Cor azul claro stonewashed.,
12,Polo Masculina,59.90,Camisa polo em malha piquet. Gola e punhos em ribana. Modelagem regular fit. 100% algodão. Disponível em várias cores.,
13,Tênis Casual,99.90,Tênis casual urbano com design clean. Solado de borracha antiderrapante. Cabedal em lona. Perfeito para o dia a dia.,
14,Camisa Social,79.90,Camisa social de manga longa. Tecido 100% algodão fio 80. Corte slim fit moderno. Disponível em branco azul e preto.,
15,Sapato Social,159.90,Sapato social em couro legítimo. Solado de borracha com acabamento em couro. Palmilha acolchoada. Design clássico e elegante.,
16,Suéter de Lã,119.90,Suéter em lã merino de alta qualidade. Gola redonda e mangas longas. Aquece sem pesar. Perfeito para o inverno.,
17,Luvas de Couro,44.90,Luvas em couro sintético. Forro interno em fleece para maior aquecimento. Ajuste elástico no punho. Touchscreen compatível.,
18,Cachecol de Lã,39.90,Cachecol em lã sintética extra macia. Comprimento de 180cm. Franja nas pontas. Diversas cores disponíveis.,
19,Meia Esportiva Kit 3,29.90,Kit com 3 pares de meias esportivas. Tecido com tecnologia antiodor. Cano médio com reforço no calcanhar e ponta.,
20,Cueca Boxer Kit 3,49.90,Kit com 3 cuecas boxer em algodão com elastano. Elástico largo confortável. Modelagem anatômica. Costuras reforçadas.,
